TABLE_NAME	COLUMN_NAME	DATA_TYPE	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT
tbl_ai_questions	id	bigint	bigint	NO	PRI	NULL
tbl_ai_questions	language_id	int	int	NO		0
tbl_ai_questions	quiz_type	int	int	NO		0
tbl_ai_questions	contest_id	int	int	NO		0
tbl_ai_questions	exam_id	int	int	NO		0
tbl_ai_questions	category	int	int	NO		NULL
tbl_ai_questions	subcategory	int	int	NO		0
tbl_ai_questions	level	int	int	NO		0
tbl_ai_questions	question_type	int	int	NO		0
tbl_ai_questions	answer_type	int	int	NO		0
tbl_ai_questions	question	text	text	NO		NULL
tbl_ai_questions	options	longtext	longtext	NO		NULL
tbl_ai_questions	correct_answer	varchar	varchar(50)	NO		NULL
tbl_ai_questions	marks	int	int	NO		0
tbl_ai_questions	status	int	int	NO		0
tbl_ai_questions	note	varchar	varchar(255)	YES		NULL
tbl_ai_questions	date_time	datetime	datetime	NO		NULL
tbl_audio_question	id	int	int	NO	PRI	NULL
tbl_audio_question	category	int	int	NO	MUL	NULL
tbl_audio_question	subcategory	int	int	NO	MUL	NULL
tbl_audio_question	language_id	int	int	NO	MUL	0
tbl_audio_question	audio_type	int	int	NO		NULL
tbl_audio_question	audio	varchar	varchar(255)	NO		NULL
tbl_audio_question	question	text	text	NO		NULL
tbl_audio_question	question_type	tinyint	tinyint	NO		NULL
tbl_audio_question	optiona	text	text	NO		NULL
tbl_audio_question	optionb	text	text	NO		NULL
tbl_audio_question	optionc	text	text	NO		NULL
tbl_audio_question	optiond	text	text	NO		NULL
tbl_audio_question	optione	text	text	YES		NULL
tbl_audio_question	answer	text	text	NO		NULL
tbl_audio_question	note	text	text	NO		NULL
tbl_authenticate	auth_id	int	int	NO	PRI	NULL
tbl_authenticate	auth_username	varchar	varchar(12)	NO	UNI	NULL
tbl_authenticate	auth_pass	text	text	NO		NULL
tbl_authenticate	role	varchar	varchar(32)	NO		NULL
tbl_authenticate	permissions	mediumtext	mediumtext	NO		NULL
tbl_authenticate	status	int	int	NO		0
tbl_authenticate	language	varchar	varchar(255)	NO		english
tbl_authenticate	created	datetime	datetime	NO		NULL
tbl_badges	id	int	int	NO	PRI	NULL
tbl_badges	language_id	int	int	YES		14
tbl_badges	type	varchar	varchar(100)	NO		NULL
tbl_badges	badge_label	varchar	varchar(200)	NO		NULL
tbl_badges	badge_note	text	text	NO		NULL
tbl_badges	badge_reward	int	int	NO		NULL
tbl_badges	badge_icon	varchar	varchar(100)	NO		NULL
tbl_badges	badge_counter	int	int	NO		NULL
tbl_battle_questions	id	int	int	NO	PRI	NULL
tbl_battle_questions	match_id	varchar	varchar(128)	NO	UNI	NULL
tbl_battle_questions	entry_coin	int	int	NO		0
tbl_battle_questions	questions	longtext	longtext	NO		NULL
tbl_battle_questions	date_created	datetime	datetime	NO		NULL
tbl_battle_questions	set_user1	int	int	NO		0
tbl_battle_questions	set_user2	int	int	NO		0
tbl_battle_statistics	id	int	int	NO	PRI	NULL
tbl_battle_statistics	user_id1	int	int	NO	MUL	NULL
tbl_battle_statistics	user_id2	int	int	NO	MUL	NULL
tbl_battle_statistics	is_drawn	tinyint	tinyint	NO		NULL
tbl_battle_statistics	winner_id	int	int	NO		NULL
tbl_battle_statistics	date_created	datetime	datetime	NO		NULL
tbl_bookmark	id	int	int	NO	PRI	NULL
tbl_bookmark	user_id	int	int	NO	MUL	NULL
tbl_bookmark	question_id	int	int	NO	MUL	NULL
tbl_bookmark	status	int	int	NO		NULL
tbl_bookmark	type	int	int	NO		NULL
tbl_category	id	int	int	NO	PRI	NULL
tbl_category	language_id	int	int	NO	MUL	0
tbl_category	category_name	varchar	varchar(250)	NO		NULL
tbl_category	slug	varchar	varchar(250)	YES		NULL
tbl_category	type	int	int	NO		NULL
tbl_category	is_premium	tinyint	tinyint	NO		0
tbl_category	coins	int	int	NO		0
tbl_category	image	text	text	YES		NULL
tbl_category	row_order	int	int	NO		NULL
tbl_coin_store	id	int	int	NO	PRI	NULL
tbl_coin_store	title	varchar	varchar(50)	NO		NULL
tbl_coin_store	coins	int	int	NO		NULL
tbl_coin_store	type	int	int	NO		0
tbl_coin_store	product_id	varchar	varchar(150)	NO	UNI	NULL
tbl_coin_store	image	text	text	YES		NULL
tbl_coin_store	description	text	text	NO		NULL
tbl_coin_store	status	tinyint	tinyint	NO		1
tbl_contest	id	int	int	NO	PRI	NULL
tbl_contest	language_id	int	int	NO	MUL	0
tbl_contest	name	text	text	NO		NULL
tbl_contest	start_date	datetime	datetime	NO		NULL
tbl_contest	end_date	datetime	datetime	NO		NULL
tbl_contest	description	text	text	NO		NULL
tbl_contest	image	varchar	varchar(512)	NO		NULL
tbl_contest	entry	int	int	NO		NULL
tbl_contest	prize_status	int	int	NO		NULL
tbl_contest	date_created	datetime	datetime	NO		NULL
tbl_contest	status	int	int	NO		NULL
tbl_contest_leaderboard	id	int	int	NO	PRI	NULL
tbl_contest_leaderboard	user_id	int	int	NO	MUL	NULL
tbl_contest_leaderboard	contest_id	int	int	NO	MUL	NULL
tbl_contest_leaderboard	questions_attended	int	int	NO		NULL
tbl_contest_leaderboard	correct_answers	int	int	NO		NULL
tbl_contest_leaderboard	score	double	double	NO	MUL	NULL
tbl_contest_leaderboard	last_updated	datetime	datetime	NO		NULL
tbl_contest_leaderboard	date_created	datetime	datetime	NO		NULL
tbl_contest_prize	id	int	int	NO	PRI	NULL
tbl_contest_prize	contest_id	int	int	NO	MUL	NULL
tbl_contest_prize	top_winner	int	int	NO		NULL
tbl_contest_prize	points	int	int	NO		NULL
tbl_contest_question	id	int	int	NO	PRI	NULL
tbl_contest_question	langauge_id	int	int	NO		0
tbl_contest_question	contest_id	int	int	NO	MUL	NULL
tbl_contest_question	image	varchar	varchar(256)	NO		NULL
tbl_contest_question	question	text	text	NO		NULL
tbl_contest_question	question_type	int	int	NO		NULL
tbl_contest_question	optiona	text	text	NO		NULL
tbl_contest_question	optionb	text	text	NO		NULL
tbl_contest_question	optionc	text	text	NO		NULL
tbl_contest_question	optiond	text	text	NO		NULL
tbl_contest_question	optione	text	text	NO		NULL
tbl_contest_question	answer	varchar	varchar(12)	NO		NULL
tbl_contest_question	note	text	text	NO		NULL
tbl_daily_quiz	id	int	int	NO	PRI	NULL
tbl_daily_quiz	language_id	int	int	NO	MUL	NULL
tbl_daily_quiz	questions_id	text	text	NO		NULL
tbl_daily_quiz	date_published	date	date	NO		NULL
tbl_daily_quiz_user	id	int	int	NO	PRI	NULL
tbl_daily_quiz_user	user_id	int	int	NO		NULL
tbl_daily_quiz_user	date	date	date	NO		NULL
tbl_exam_module	id	int	int	NO	PRI	NULL
tbl_exam_module	language_id	int	int	NO	MUL	0
